特征名称,回归系数,项,值
MedInc,0.8296193042804497,,
AveRooms,-0.26552687950662024,,
HouseAge,0.11875165121214189,,
AveBedrms,0.30569622980430877,,
Population,-0.004503001312612856,,
AveOccup,-0.03932626697814862,,
Latitude,-0.8998856544145064,,
Longitude,-0.8705410023357303,,
,,,
,,截距,2.0685581690891386
,,MSE,0.5243209861846072
,,RMSE,0.7241001216576387
,,R²,0.606232685199805
,,交叉验证均值R²,0.5530311140279559
