datetime,open,close,high,low,vol
2010-01-05,3254.47,3282.18,3290.51,3221.46,1422749.0
2010-01-06,3277.52,3254.21,3295.87,3253.04,1351313.0
2010-01-07,3253.99,3192.78,3268.82,3176.71,1452287.0
2010-01-08,3177.26,3196.0,3198.92,3149.02,1146025.0
2010-01-11,3301.61,3212.75,3306.75,3197.33,1615021.0
2010-01-12,3205.7,3273.97,3275.2,3180.08,1591287.0
2010-01-13,3204.98,3172.66,3232.82,3165.49,1852131.0
2010-01-14,3183.38,3215.55,3219.02,3165.6,1519866.0
2010-01-15,3217.19,3224.15,3241.82,3197.22,1314140.0
2010-01-18,3213.64,3237.1,3238.24,3202.21,1457035.0
2010-01-19,3242.22,3246.87,3268.81,3236.84,1449501.0
2010-01-20,3252.04,3151.85,3255.13,3148.33,1725556.0
2010-01-21,3154.19,3158.86,3176.15,3126.9,1326396.0
2010-01-22,3118.72,3128.59,3147.83,3062.63,1564270.0
2010-01-25,3103.32,3094.41,3137.0,3092.93,939940.0
2010-01-26,3094.85,3019.39,3107.2,3001.96,1094946.0
2010-01-27,3020.54,2986.61,3028.65,2972.63,931502.0
2010-01-28,2985.21,2994.14,3006.04,2963.89,851671.0
2010-01-29,2979.74,2989.29,3024.85,2968.45,912711.0
2010-02-01,2981.37,2941.36,2981.37,2912.89,1005643.0
2010-02-02,2955.75,2934.71,2990.75,2930.56,937349.0
2010-02-03,2945.03,3003.83,3005.13,2890.02,1190053.0
2010-02-04,2983.05,2995.31,3015.13,2968.68,1114419.0
2010-02-05,2936.2,2939.4,2959.23,2918.91,1077461.0
2010-02-08,2936.45,2935.17,2954.27,2922.19,684523.0
2010-02-09,2932.09,2948.84,2957.47,2929.21,690936.0
2010-02-10,2967.14,2982.5,2983.18,2958.22,623224.0
2010-02-11,2985.08,2985.5,3001.64,2976.08,624620.0
2010-02-12,2996.09,3018.13,3018.86,2993.44,606949.0
2010-02-22,3016.7,3003.4,3026.66,3002.81,751938.0
2010-02-23,2998.91,2982.58,2998.91,2938.75,890115.0
2010-02-24,2964.98,3022.18,3023.74,2955.07,996259.0
2010-02-25,3026.66,3060.62,3063.0,3022.37,1305444.0
2010-02-26,3053.5,3051.94,3067.52,3041.69,1095998.0
2010-03-01,3057.01,3087.84,3093.09,3054.55,1209499.0
2010-03-02,3089.71,3073.11,3095.99,3060.96,1136538.0
2010-03-03,3074.1,3097.01,3098.46,3061.47,1231340.0
2010-03-04,3098.07,3023.37,3102.4,3016.22,1367445.0
2010-03-05,3026.64,3031.06,3044.16,3011.09,982801.0
2010-03-08,3036.41,3053.23,3058.83,3030.9,855980.0
2010-03-09,3053.26,3069.14,3084.85,3028.69,995640.0
2010-03-10,3067.15,3048.93,3085.99,3034.74,905531.0
2010-03-11,3050.64,3051.28,3070.94,3025.31,878505.0
2010-03-12,3051.47,3013.41,3057.52,3011.97,778955.0
2010-03-15,3010.72,2976.94,3013.52,2963.49,733182.0
2010-03-16,2974.49,2992.84,2993.84,2963.44,649867.0
2010-03-17,2999.82,3050.48,3050.76,2994.89,963396.0
2010-03-18,3053.16,3046.09,3063.59,3035.02,981929.0
2010-03-19,3046.75,3067.75,3069.66,3031.02,1023918.0
2010-03-22,3069.66,3074.58,3083.35,3061.76,1059682.0
2010-03-23,3076.96,3053.13,3082.97,3051.21,1012818.0
2010-03-24,3058.93,3056.81,3076.75,3052.21,981583.0
2010-03-25,3051.36,3019.18,3051.36,3012.31,973244.0
2010-03-26,3017.21,3059.72,3067.71,3009.91,1040935.0
2010-03-29,3076.05,3123.8,3130.28,3071.69,1519034.0
2010-03-30,3123.83,3128.47,3132.58,3113.77,1126285.0
2010-03-31,3129.57,3109.1,3130.11,3101.76,1115349.0
2010-04-01,3111.93,3147.42,3148.34,3111.93,1407843.0
2010-04-02,3154.77,3157.96,3159.6,3141.87,1333397.0
2010-04-06,3170.61,3158.68,3177.97,3141.93,1322346.0
2010-04-07,3156.31,3148.22,3161.08,3132.24,1141377.0
2010-04-08,3143.45,3118.71,3143.83,3110.26,1268994.0
2010-04-09,3118.93,3145.35,3146.46,3114.79,1141655.0
2010-04-12,3151.89,3129.26,3156.21,3111.9,1477307.0
2010-04-13,3129.69,3161.25,3173.63,3101.48,1614337.0
2010-04-14,3161.55,3166.18,3167.66,3145.55,1148887.0
2010-04-15,3168.14,3164.97,3181.66,3135.99,1164732.0
2010-04-16,3159.67,3130.3,3159.67,3121.37,951261.0
2010-04-19,3096.78,2980.3,3096.78,2977.77,1531479.0
2010-04-20,2980.08,2979.53,2998.91,2941.35,1181653.0
2010-04-21,2984.62,3033.28,3034.33,2972.1,1311514.0
2010-04-22,3021.29,2999.48,3023.64,2978.46,1369977.0
2010-04-23,2995.57,2983.54,3015.63,2966.78,1176020.0
2010-04-26,2988.08,2969.5,2996.83,2965.83,1040961.0
2010-04-27,2962.15,2907.93,2962.15,2866.34,1243988.0
2010-04-28,2883.17,2900.33,2916.68,2865.47,955193.0
2010-04-29,2912.2,2868.43,2928.93,2867.94,999427.0
2010-04-30,2867.65,2870.61,2875.81,2820.95,1036319.0
2010-05-04,2821.35,2835.28,2862.56,2809.13,790104.0
2010-05-05,2804.51,2857.15,2857.29,2770.33,1126855.0
2010-05-06,2838.95,2739.7,2838.95,2735.0,1137108.0
2010-05-07,2685.99,2688.38,2732.18,2665.81,1115995.0
2010-05-10,2690.86,2698.76,2713.06,2646.59,998855.0
2010-05-11,2745.6,2647.57,2751.07,2638.53,1161819.0
2010-05-12,2628.02,2655.71,2668.12,2604.2,1067818.0
2010-05-13,2653.58,2710.51,2711.07,2646.9,1032041.0
2010-05-14,2692.1,2696.63,2712.86,2677.19,881188.0
2010-05-17,2663.88,2559.93,2663.88,2557.24,1021582.0
2010-05-18,2555.14,2594.78,2603.32,2529.63,1037966.0
2010-05-19,2581.63,2587.81,2623.96,2554.98,904666.0
2010-05-20,2571.54,2555.94,2609.64,2551.45,827426.0
2010-05-21,2492.57,2583.52,2584.45,2481.97,1030336.0
