,predict,true
0,2986.890380859375,2978.71
1,2988.830078125,2977.33
2,2981.66943359375,2938.14
3,2970.48095703125,2939.62
4,2951.416259765625,2954.38
5,2947.602783203125,2941.62
6,2943.8095703125,2940.92
7,2938.94287109375,2954.93
8,2941.34521484375,2980.05
9,2960.692626953125,2954.18
10,2963.486328125,2939.32
11,2955.223876953125,2929.06
12,2948.5341796875,2958.2
13,2947.69873046875,2975.49
14,2961.644287109375,2991.56
15,2975.556884765625,2978.6
16,2979.58203125,2978.71
17,2978.22802734375,2964.18
18,2979.08935546875,2909.97
19,2953.84814453125,2914.82
20,2930.728759765625,2905.24
21,2918.553466796875,2909.87
22,2911.98779296875,2891.34
23,2903.802001953125,2909.2
24,2900.350830078125,2933.99
25,2910.3623046875,2911.05
26,2912.88037109375,2903.64
27,2905.338134765625,2885.29
28,2904.55322265625,2906.17
29,2906.298095703125,2907.06
30,2909.84423828125,2903.19
31,2904.676513671875,2889.69
32,2896.72998046875,2871.98
33,2885.04833984375,2875.81
34,2881.503662109375,2884.7
35,2877.070556640625,2878.12
36,2875.731689453125,2899.47
37,2885.1357421875,2912.01
38,2893.99169921875,2914.48
39,2905.7841796875,2917.32
40,2912.625732421875,2924.42
41,2920.854736328125,2915.7
42,2921.21435546875,2967.68
43,2945.999755859375,2984.39
44,2966.090087890625,3022.42
45,3003.685791015625,3017.04
46,3020.25830078125,3017.07
47,3023.57666015625,3004.94
48,3025.140380859375,2962.75
49,3007.88427734375,2982.68
50,2991.7734375,2981.88
51,2989.752197265625,3007.35
52,2995.010009765625,3005.04
53,3013.349609375,3040.02
54,3025.736328125,3050.12
55,3041.031982421875,3085.2
56,3076.125732421875,3083.79
57,3088.991943359375,3083.41
58,3102.541748046875,3104.8
59,3112.464599609375,3066.89
60,3108.368896484375,3094.88
61,3105.8125,3092.29
62,3103.510009765625,3115.57
63,3106.125732421875,3106.82
64,3116.174560546875,3090.04
65,3108.275390625,3074.08
66,3100.402099609375,3075.5
67,3092.90869140625,3095.79
68,3095.641845703125,3052.14
69,3087.5966796875,3060.75
70,3073.083740234375,2976.53
71,3049.1240234375,2746.61
72,2898.1748046875,2783.29
73,2826.46142578125,2818.09
74,2825.793212890625,2866.51
75,2855.028076171875,2875.96
76,2869.587890625,2890.49
77,2887.287109375,2901.67
78,2905.74462890625,2926.9
79,2919.549560546875,2906.07
80,2930.992431640625,2917.01
81,2931.326416015625,2983.62
82,2963.3212890625,2984.97
83,2987.515380859375,2975.4
84,2999.7607421875,3030.15
85,3023.51220703125,3039.67
86,3052.419677734375,3031.23
87,3061.016845703125,3013.05
88,3054.717041015625,2987.93
89,3053.134521484375,2991.33
90,3037.245361328125,2880.3
91,2993.2373046875,2970.93
92,2978.788330078125,2992.9
93,3017.09033203125,3011.67
94,3023.12841796875,3071.68
95,3066.947509765625,3034.51
96,3071.271240234375,2943.29
97,3041.475341796875,2996.76
98,3018.897705078125,2968.52
99,3018.59423828125,2923.49
100,2984.620849609375,2887.43
101,2937.47900390625,2789.25
102,2898.930908203125,2779.64
103,2850.226318359375,2728.76
104,2812.56005859375,2702.13
105,2768.89404296875,2745.62
106,2753.55078125,2660.17
107,2725.525390625,2722.44
108,2720.6376953125,2781.59
109,2761.156494140625,2764.91
110,2773.10791015625,2772.2
111,2787.00537109375,2747.21
112,2777.599365234375,2750.3
113,2773.0703125,2734.52
114,2767.7763671875,2780.64
115,2767.6357421875,2763.99
116,2773.37890625,2820.76
117,2807.98193359375,2815.37
118,2819.238037109375,2825.9
119,2832.869873046875,2796.63
120,2831.0673828125,2783.05
121,2810.627685546875,2827.28
122,2815.849853515625,2811.17
123,2824.833740234375,2819.94
124,2823.681884765625,2838.49
125,2843.155517578125,2852.55
126,2851.643798828125,2827.01
127,2850.2666015625,2843.98
128,2847.121337890625,2838.5
129,2857.541748046875,2808.53
130,2846.9169921875,2815.49
131,2836.747314453125,2810.02
132,2831.66064453125,2822.44
133,2827.37890625,2860.08
134,2849.066650390625,2878.14
135,2864.06884765625,2871.52
136,2876.494873046875,2895.34
137,2892.983154296875,2894.8
138,2903.91748046875,2891.56
139,2901.21875,2898.05
140,2900.341064453125,2870.34
141,2895.53759765625,2868.46
142,2888.629638671875,2875.42
143,2891.295654296875,2898.58
144,2898.146240234375,2883.74
145,2898.8984375,2867.92
146,2893.960693359375,2813.77
147,2870.697998046875,2817.97
148,2844.137451171875,2846.55
149,2843.1591796875,2836.8
150,2848.730224609375,2846.22
151,2850.7734375,2852.35
152,2854.7939453125,2915.43
153,2889.34619140625,2921.4
154,2913.72216796875,2923.37
155,2931.731689453125,2919.25
156,2935.26513671875,2930.8
157,2938.11328125,2937.77
158,2948.503662109375,2956.11
159,2953.275634765625,2943.75
160,2954.475341796875,2920.9
161,2951.746826171875,2919.74
162,2936.929443359375,2890.03
163,2929.242919921875,2931.75
164,2932.857421875,2935.87
165,2940.671630859375,2939.32
166,2947.808349609375,2967.63
167,2963.8134765625,2965.27
168,2978.628173828125,2970.62
169,2977.762939453125,2979.55
170,2983.980224609375,2961.52
171,2981.6513671875,2984.67
172,2986.67333984375,3025.98
173,3011.715087890625,3090.57
174,3061.590087890625,3152.81
175,3124.3828125,3332.88
176,3239.47607421875,3345.34
177,3344.290771484375,3403.44
178,3402.64599609375,3450.59
179,3463.98876953125,3383.3199999999997
180,3463.8330078125,3443.29
181,3473.39892578125,3414.6199999999994
182,3475.76220703125,3361.3
183,3452.3984375,3210.1
184,3381.8310546875,3214.13
185,3299.166748046875,3314.15
186,3308.92724609375,3320.8899999999994
187,3333.46337890625,3333.1600000000003
188,3350.10205078125,3325.1099999999997
189,3349.056640625,3196.77
190,3319.85498046875,3205.23
191,3264.510986328125,3227.96
192,3255.5556640625,3294.55
193,3273.72119140625,3286.82
194,3296.933349609375,3310.0100000000007
195,3313.7314453125,3367.97
196,3359.61474609375,3371.69
197,3393.018798828125,3377.56
198,3396.662841796875,3386.46
199,3409.518798828125,3354.04
200,3399.879638671875,3379.25
201,3401.504150390625,3340.29
202,3402.768310546875,3319.27
203,3371.68310546875,3320.73
204,3358.145751953125,3360.1
205,3360.9091796875,3438.8
206,3414.835205078125,3451.0900000000006
207,3445.938232421875,3408.13
208,3455.8544921875,3363.9
209,3425.308349609375,3380.68
210,3411.536865234375,3385.64
211,3405.337646484375,3373.58
212,3400.2392578125,3329.74
213,3381.59423828125,3350.11
214,3364.44775390625,3403.81
215,3382.537841796875,3395.68
216,3410.66796875,3410.6099999999997
217,3405.589111328125,3404.8
218,3413.59228515625,3384.98
219,3410.777099609375,3355.3699999999994
220,3379.304443359375,3292.5900000000006
221,3358.359130859375,3316.42
222,3341.760498046875,3254.6299999999997
223,3320.73779296875,3234.82
224,3297.572509765625,3260.3499999999995
225,3272.079345703125,3278.8099999999995
226,3276.73046875,3295.6799999999994
227,3278.41455078125,3283.9200000000005
228,3283.4130859375,3270.44
229,3279.50537109375,3338.0899999999997
230,3306.5830078125,3316.94
231,3320.612060546875,3274.3
232,3303.763427734375,3279.71
233,3290.41015625,3223.18
234,3268.867919921875,3219.42
235,3245.396240234375,3217.53
236,3231.005615234375,3224.36
237,3227.702880859375,3218.05
238,3220.876220703125,3272.08
239,3249.587646484375,3358.47
240,3296.2626953125,3359.75
241,3325.421875,3340.78
242,3336.447021484375,3332.18
243,3340.135498046875,3336.36
244,3339.925537109375,3312.67
245,3340.25439453125,3328.1
246,3324.3828125,3325.02
247,3324.4521484375,3312.5
248,3312.86083984375,3278.0
249,3302.70556640625,3251.1199999999994
250,3274.864501953125,3254.32
251,3260.519775390625,3269.24
